type,x_au,y_au,z_au,time
spacecraft,-0.9453406149799879,0.27456479375228776,0,2028-03-03 00:00:00
spacecraft,-0.9410988252043874,0.2952891862196068,0,2028-03-04 00:00:00
spacecraft,-0.9365670800124182,0.31592135850031966,0,2028-03-05 00:00:00
spacecraft,-0.9317483327475312,0.33645654576563716,0,2028-03-06 00:00:00
spacecraft,-0.9266459507139441,0.3568892396673533,0,2028-03-07 00:00:00
spacecraft,-0.9212634866632192,0.3772140237670429,0,2028-03-08 00:00:00
spacecraft,-0.9156046572930286,0.3974256257283559,0,2028-03-09 00:00:00
spacecraft,-0.909673331063805,0.41751893289157865,0,2028-03-10 00:00:00
spacecraft,-0.903473517680774,0.4374890003067369,0,2028-03-11 00:00:00
spacecraft,-0.8970093579928986,0.45733105612460356,0,2028-03-12 00:00:00
spacecraft,-0.8902851140192309,0.47704050562375705,0,2028-03-13 00:00:00
spacecraft,-0.88330515903668,0.49661293430549747,0,2028-03-14 00:00:00
spacecraft,-0.8760739677293865,0.5160441102345634,0,2028-03-15 00:00:00
spacecraft,-0.868596106422142,0.5353299857142795,0,2028-03-16 00:00:00
spacecraft,-0.8608762234277866,0.5544666983499472,0,2028-03-17 00:00:00
spacecraft,-0.8529190395403214,0.5734505715399354,0,2028-03-18 00:00:00
spacecraft,-0.8447293387048316,0.5922781144279466,0,2028-03-19 00:00:00
spacecraft,-0.8363119588935163,0.610946021347586,0,2028-03-20 00:00:00
spacecraft,-0.8276717832147478,0.629451170789615,0,2028-03-21 00:00:00
spacecraft,-0.8188137312794261,0.6477906239221873,0,2028-03-22 00:00:00
spacecraft,-0.8097427508460923,0.6659616226945189,0,2028-03-23 00:00:00
spacecraft,-0.8004638097634302,0.6839615875545797,0,2028-03-24 00:00:00
spacecraft,-0.7909818882259596,0.7017881148114539,0,2028-03-25 00:00:00
spacecraft,-0.7813019713559729,0.7194389736729018,0,2028-03-26 00:00:00
spacecraft,-0.7714290421220861,0.7369121029883733,0,2028-03-27 00:00:00
spacecraft,-0.7613680746022381,0.7542056077272727,0,2028-03-28 00:00:00
spacecraft,-0.7511240275965432,0.7713177552216475,0,2028-03-29 00:00:00
spacecraft,-0.7407018385931371,0.7882469712016952,0,2028-03-30 00:00:00
spacecraft,-0.7301064180880423,0.8049918356515762,0,2028-03-31 00:00:00
spacecraft,-0.7193426442581315,0.8215510785119776,0,2028-04-01 00:00:00
spacecraft,-0.7084153579844812,0.8379235752547504,0,2028-04-02 00:00:00
spacecraft,-0.697329358221798,0.8541083423537262,0,2028-04-03 00:00:00
spacecraft,-0.6860893977081549,0.8701045326745385,0,2028-04-04 00:00:00
spacecraft,-0.6747001790079851,0.8859114308049609,0,2028-04-05 00:00:00
spacecraft,-0.663166350880168,0.9015284483459114,0,2028-04-06 00:00:00
spacecraft,-0.6514925049620629,0.9169551191819113,0,2028-04-07 00:00:00
spacecraft,-0.6396831727595356,0.9321910947484148,0,2028-04-08 00:00:00
spacecraft,-0.6277428229323261,0.9472361393120603,0,2028-04-09 00:00:00
spacecraft,-0.6156758588635688,0.9620901252785582,0,2028-04-10 00:00:00
spacecraft,-0.6034866165018328,0.9767530285416164,0,2028-04-11 00:00:00
spacecraft,-0.591179362463742,0.991224923885028,0,2028-04-12 00:00:00
spacecraft,-0.5787582923850167,1.0055059804488145,0,2028-04-13 00:00:00
spacecraft,-0.5662275295076595,1.019596457269136,0,2028-04-14 00:00:00
spacecraft,-0.5535911234909776,1.033496698900546,0,2028-04-15 00:00:00
spacecraft,-0.5408530494341708,1.0472071311280982,0,2028-04-16 00:00:00
spacecraft,-0.5280172070983336,1.0607282567757907,0,2028-04-17 00:00:00
spacecraft,-0.5150874203158798,1.0740606516168825,0,2028-04-18 00:00:00
spacecraft,-0.5020674365756354,1.087204960390718,0,2028-04-19 00:00:00
spacecraft,-0.488960926772096,1.100161892929858,0,2028-04-20 00:00:00
spacecraft,-0.4757714851076692,1.112932220400548,0,2028-04-21 00:00:00
spacecraft,-0.4625026291370439,1.1255167716588224,0,2028-04-22 00:00:00
spacecraft,-0.4491577999432014,1.1379164297239044,0,2028-04-23 00:00:00
spacecraft,-0.43574036243496556,1.1501321283699393,0,2028-04-24 00:00:00
spacecraft,-0.42225360575638304,1.162164848836567,0,2028-04-25 00:00:00
spacecraft,-0.4087007437986412,1.1740156166583229,0,2028-04-26 00:00:00
spacecraft,-0.3950849158056456,1.185685498612427,0,2028-04-27 00:00:00
spacecraft,-0.3814091870647983,1.1971755997841058,0,2028-04-28 00:00:00
spacecraft,-0.3676765496749434,1.208487060748238,0,2028-04-29 00:00:00
spacecraft,-0.35388992338386044,1.2196210548658013,0,2028-04-30 00:00:00
spacecraft,-0.3400521564881046,1.2305787856933186,0,2028-05-01 00:00:00
spacecraft,-0.3261660267883957,1.2413614845032568,0,2028-05-02 00:00:00
spacecraft,-0.31223424259416055,1.2519704079131326,0,2028-05-03 00:00:00
spacecraft,-0.29825944377122077,1.2624068356208944,0,2028-05-04 00:00:00
spacecraft,-0.28424420282699286,1.27267206824401,0,2028-05-05 00:00:00
spacecraft,-0.2701910260279371,1.2827674252595598,0,2028-05-06 00:00:00
spacecraft,-0.25610235454434077,1.292694243042546,0,2028-05-07 00:00:00
spacecraft,-0.24198056561786335,1.3024538729995523,0,2028-05-08 00:00:00
spacecraft,-0.22782797374759153,1.3120476797948253,0,2028-05-09 00:00:00
spacecraft,-0.2136468318906672,1.3214770396658235,0,2028-05-10 00:00:00
spacecraft,-0.19943933267384625,1.3307433388252516,0,2028-05-11 00:00:00
spacecraft,-0.18520760961262753,1.339847971946592,0,2028-05-12 00:00:00
spacecraft,-0.17095373833485955,1.3487923407301528,0,2028-05-13 00:00:00
spacecraft,-0.15667973780598796,1.35757785254667,0,2028-05-14 00:00:00
spacecraft,-0.1423875715533437,1.3662059191555314,0,2028-05-15 00:00:00
spacecraft,-0.12807914888710206,1.3746779554947204,0,2028-05-16 00:00:00
spacecraft,-0.11375632611575268,1.38299537853963,0,2028-05-17 00:00:00
spacecraft,-0.09942090775412432,1.3911596062279428,0,2028-05-18 00:00:00
spacecraft,-0.08507464772219313,1.3991720564478283,0,2028-05-19 00:00:00
spacecraft,-0.07071925053308349,1.407034146086783,0,2028-05-20 00:00:00
spacecraft,-0.0563563724688319,1.4147472901384794,0,2028-05-21 00:00:00
spacecraft,-0.04198762274264064,1.4223129008650874,0,2028-05-22 00:00:00
