trajectory_id,is_best,generation,x_au,y_au,z_au,time
0,1,99,-0.9392674143116366,0.335729717970471,0.12457049134979546,2028-03-04 12:00:00
0,1,99,-0.9195736724735434,0.5203512145130622,0.12145492393268907,2028-03-14 12:00:00
0,1,99,-0.8772198626398949,0.6922767443257366,0.11534614064079227,2028-03-24 12:00:00
0,1,99,-0.8165068839568488,0.8498217044505935,0.10682301603744011,2028-04-03 12:00:00
0,1,99,-0.7411628307762632,0.9922320561358137,0.09638547278987625,2028-04-13 12:00:00
0,1,99,-0.6543335444127552,1.1193492649731378,0.08445410025182722,2028-04-23 12:00:00
0,1,99,-0.5586401486590429,1.2313783551924185,0.07137844871587237,2028-05-03 12:00:00
0,1,99,-0.4562578071393375,1.328734890014695,0.057447950733506656,2028-05-13 12:00:00
0,1,99,-0.3489941549902702,1.411947082609738,0.042902654054497585,2028-05-23 12:00:00
0,1,99,-0.23835886038966123,1.4815946327127483,0.027942673314292805,2028-06-02 12:00:00
0,1,99,-0.12562205396310291,1.5382713999451376,0.012736092222563692,2028-06-12 12:00:00
0,1,99,-0.011862085138783809,1.5825633181818939,-0.0025745998423388353,2028-06-22 12:00:00
0,1,99,0.10199595412099757,1.6150359624578208,-0.017867329756391933,2028-07-02 12:00:00
0,1,99,0.21514930370872173,1.636228183668194,-0.03303629335814914,2028-07-12 12:00:00
0,1,99,0.3268926992226578,1.6466495288467364,-0.04798863144140443,2028-07-22 12:00:00
0,1,99,0.43659834544839254,1.6467800017421417,-0.06264175429403054,2028-08-01 12:00:00
0,1,99,0.5436996575879842,1.637071254015505,-0.07692117323380203,2028-08-11 12:00:00
0,1,99,0.6476779395952013,1.6179486403995476,-0.09075872670780817,2028-08-21 12:00:00
0,1,99,0.7480513437397482,1.5898137918478596,-0.10409111244434899,2028-08-31 12:00:00
0,1,99,0.8443655948725699,1.5530475039599243,-0.1168586561347915,2028-09-10 12:00:00
0,1,99,0.9361860716893377,1.5080128324429847,-0.12900426190630185,2028-09-20 12:00:00
0,1,99,1.023090921258424,1.45505835143857,-0.14047250123004004,2028-09-30 12:00:00
0,1,99,1.10466494743786,1.3945215761405256,-0.15120880562520608,2028-10-10 12:00:00
0,1,99,1.180494063014782,1.326732586220553,-0.16115873518412002,2028-10-20 12:00:00
0,1,99,1.250160133147287,1.2520179167024168,-0.17026730006426272,2028-10-30 12:00:00
0,1,99,1.3132360670449554,1.1707048122505288,-0.17847831609123951,2028-11-09 12:00:00
0,1,99,1.3692810384799663,1.0831259728474103,-0.1857337788603002,2028-11-19 12:00:00
0,1,99,1.4178357362627774,0.9896249568531764,-0.1919732435676513,2028-11-29 12:00:00
0,1,99,1.4584175660833911,0.8905624550613834,-0.19713320063490308,2028-12-09 12:00:00
0,1,99,1.4905157486830016,0.7863237108429184,-0.20114644049883823,2028-12-19 12:00:00
0,1,99,1.5135862911949787,0.6773274421143596,-0.20394140540787867,2028-12-29 12:00:00
0,1,99,1.52704685623307,0.5640367274509565,-0.2054415327229548,2029-01-08 12:00:00
0,1,99,1.5302716287599416,0.44697245977399336,-0.2055646046694537,2029-01-18 12:00:00
0,1,99,1.5225864029408331,0.3267301572069794,-0.20422213629396116,2029-01-28 12:00:00
0,1,99,1.5032643108740544,0.20400116383218328,-0.20131886068955782,2029-02-07 12:00:00
0,1,99,1.4715229424386411,0.07959958420482598,-0.1967524150932174,2029-02-17 12:00:00
0,1,99,1.4265241420579513,-0.045503321651053634,-0.1904134041301853,2029-02-27 12:00:00
0,1,99,1.3673786454627865,-0.17013512042797355,-0.18218613479910978,2029-03-09 12:00:00
0,1,99,1.293159145526476,-0.2928659911251466,-0.171950509334444,2029-03-19 12:00:00
0,1,99,1.2029276667882067,-0.4119375640661937,-0.1595858684810379,2029-03-29 12:00:00
0,1,99,1.0957867240787345,-0.5251746252701532,-0.14497805651011517,2029-04-08 12:00:00
0,1,99,0.9709691412456047,-0.6298798989381746,-0.12803169432264183,2029-04-18 12:00:00
0,1,99,0.8279888229676158,-0.7227185913193463,-0.10869062062863319,2029-04-28 12:00:00
0,1,99,0.6668830162518871,-0.7996139932074258,-0.08697052383840755,2029-05-08 12:00:00
0,1,99,0.48858024733831873,-0.8557043254487443,-0.06300819878126347,2029-05-18 12:00:00
0,1,99,0.2954119948742176,-0.8854593452494639,-0.037129581638405816,2029-05-28 12:00:00
0,1,99,0.09171953104900141,-0.8831141363620753,-0.009929662382425949,2029-06-07 12:00:00
0,1,99,-0.11564557471075736,-0.8435933279498056,0.017663094529775297,2029-06-17 12:00:00
0,1,99,-0.3173424329936944,-0.7639469560585008,0.04439332539626583,2029-06-27 12:00:00
0,1,99,-0.502561349283725,-0.64489300777942,0.06881912561509186,2029-07-07 12:00:00
0,1,99,-0.6610850719542408,-0.4915820641448995,0.08958936871588633,2029-07-17 12:00:00
0,1,99,-0.7855643529788404,-0.3128290270067067,0.10574562148171911,2029-07-27 12:00:00
0,1,99,-0.8727803121123894,-0.11905613734921308,0.11688534527401272,2029-08-06 12:00:00
0,1,99,-0.9233815244094304,0.07990216161859696,0.12312101147014992,2029-08-16 12:00:00
0,1,99,-0.9406363763449517,0.27615236375322544,0.1249099045001146,2029-08-26 12:00:00
0,1,99,-0.9290598361044179,0.4640935694868428,0.12286978292221386,2029-09-05 12:00:00
0,1,99,-0.8934113847755303,0.6401427835138123,0.11764576051571264,2029-09-15 12:00:00
0,1,99,-0.8305619489694901,0.8097233546911814,0.10983626986343156,2029-09-25 12:00:00
