            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2460995.500000000, A.D. 2025-Nov-16 00:00:00.0000,  3.669340210953559E+08, -2.867296356586373E+08,  9.773072430227846E+05,  9.761841997064888E+00,  1.313829452246583E+01, -3.407197644422801E+00,  1.553332512951311E+03,  4.656773721489903E+08, -4.048217812008023E-01,
2460996.500000000, A.D. 2025-Nov-17 00:00:00.0000,  3.677756429611358E+08, -2.855930827577366E+08,  6.829210452948958E+05,  9.720128145129523E+00,  1.317078011172176E+01, -3.407292106003728E+00,  1.553215694295211E+03,  4.656423507969377E+08, -4.058570431887824E-01,
2460997.500000000, A.D. 2025-Nov-18 00:00:00.0000,  3.686136562213235E+08, -2.844537283672600E+08,  3.885281293590963E+05,  9.678309518570828E+00,  1.320314375911830E+01, -3.407353155999777E+00,  1.553098577815295E+03,  4.656072401595515E+08, -4.068885682510821E-01,
2460998.500000000, A.D. 2025-Nov-19 00:00:00.0000,  3.694480518385410E+08, -2.833115830382584E+08,  9.413138262139261E+04,  9.636386468305467E+00,  1.323538511156840E+01, -3.407380779496881E+00,  1.552981164591157E+03,  4.655720405604855E+08, -4.079163384381201E-01,
2460999.500000000, A.D. 2025-Nov-20 00:00:00.0000,  3.702788208057834E+08, -2.821666573521611E+08, -2.002663062272668E+05,  9.594359346417185E+00,  1.326750381897943E+01, -3.407374961651095E+00,  1.552863455707384E+03,  4.655367523248909E+08, -4.089403371096128E-01,
2461000.500000000, A.D. 2025-Nov-21 00:00:00.0000,  3.711059541464962E+08, -2.810189619205130E+08, -4.946620472141206E+05,  9.552228505582180E+00,  1.329949953432855E+01, -3.407335687630680E+00,  1.552745452253115E+03,  4.655013757792828E+08, -4.099605494047281E-01,
2461001.500000000, A.D. 2025-Nov-22 00:00:00.0000,  3.719294429145994E+08, -2.798685073847119E+08, -7.890529490839094E+05,  9.509994298455551E+00,  1.333137191356375E+01, -3.407262942568866E+00,  1.552627155321462E+03,  4.654659112513688E+08, -4.109769626449018E-01,
2461002.500000000, A.D. 2025-Nov-23 00:00:00.0000,  3.727492781944599E+08, -2.787153044157628E+08, -1.083436119294077E+06,  9.467657077079036E+00,  1.336312061531602E+01, -3.407156711534030E+00,  1.552508566008846E+03,  4.654303590698471E+08, -4.119895666159824E-01,
2461003.500000000, A.D. 2025-Nov-24 00:00:00.0000,  3.735654511008164E+08, -2.775593637140660E+08, -1.377808664008915E+06,  9.425217192379925E+00,  1.339474530042945E+01, -3.407016979523117E+00,  1.552389685414257E+03,  4.653947195641869E+08, -4.129983536808836E-01,
2461004.500000000, A.D. 2025-Nov-25 00:00:00.0000,  3.743779527786657E+08, -2.764006960092502E+08, -1.672167688093930E+06,  9.382674993823697E+00,  1.342624563135134E+01, -3.406843731480623E+00,  1.552270514638524E+03,  4.653589930644081E+08, -4.140033186992444E-01,
2461005.500000000, A.D. 2025-Nov-26 00:00:00.0000,  3.751867744031296E+08, -2.752393120600646E+08, -1.966510295113146E+06,  9.340030829262334E+00,  1.345762127143930E+01, -3.406636952342333E+00,  1.552151054783627E+03,  4.653231799008763E+08, -4.150044587543754E-01,
2461006.500000000, A.D. 2025-Nov-27 00:00:00.0000,  3.759919071793159E+08, -2.740752226543301E+08, -2.260833587330729E+06,  9.297285044996658E+00,  1.348887188426601E+01, -3.406396627098885E+00,  1.552031306952118E+03,  4.652872804041280E+08, -4.160017727187421E-01,
2461007.500000000, A.D. 2025-Nov-28 00:00:00.0000,  3.767933423421947E+08, -2.729084386089488E+08, -2.555134665719301E+06,  9.254437986039521E+00,  1.351999713298890E+01, -3.406122740872470E+00,  1.551911272246680E+03,  4.652512949047392E+08, -4.169952607050583E-01,
2461008.500000000, A.D. 2025-Nov-29 00:00:00.0000,  3.775910711565039E+08, -2.717389707699621E+08, -2.849410629974514E+06,  9.211489996531640E+00,  1.355099667985065E+01, -3.405815278996867E+00,  1.551790951769855E+03,  4.652152237332443E+08, -4.179849234765882E-01,
2461009.500000000, A.D. 2025-Nov-30 00:00:00.0000,  3.783850849166963E+08, -2.705668300126464E+08, -3.143658578536808E+06,  9.168441420258548E+00,  1.358187018584128E+01, -3.405474227093535E+00,  1.551670346623944E+03,  4.651790672201041E+08, -4.189707618719141E-01,
2461010.500000000, A.D. 2025-Dec-01 00:00:00.0000,  3.791753749469318E+08, -2.693920272416286E+08, -3.437875608619153E+06,  9.125292601206642E+00,  1.361261731053888E+01, -3.405099571136721E+00,  1.551549457911054E+03,  4.651428256957223E+08, -4.199527763001918E-01,
2461011.500000000, A.D. 2025-Dec-02 00:00:00.0000,  3.799619326011193E+08, -2.682145733910103E+08, -3.732058816239759E+06,  9.082043884090544E+00,  1.364323771210390E+01, -3.404691297503379E+00,  1.551428286733286E+03,  4.651064994905006E+08, -4.209309663440809E-01,
2461012.500000000, A.D. 2025-Dec-03 00:00:00.0000,  3.807447492629994E+08, -2.670344794244844E+08, -4.026205296258464E+06,  9.038695614824853E+00,  1.367373104741100E+01, -3.404249393006762E+00,  1.551306834193017E+03,  4.650700889349230E+08, -4.219053304808275E-01,
2461013.500000000, A.D. 2025-Dec-04 00:00:00.0000,  3.815238163462653E+08, -2.658517563354380E+08, -4.320312142415345E+06,  8.995248140902335E+00,  1.370409697226778E+01, -3.403773844914323E+00,  1.551185101393241E+03,  4.650335943596588E+08, -4.228758659219155E-01,
2461014.500000000, A.D. 2025-Dec-05 00:00:00.0000,  3.822991252947125E+08, -2.646664151470324E+08, -4.614376447370201E+06,  8.951701811672262E+00,  1.373433514169412E+01, -3.403264640951513E+00,  1.551063089437945E+03,  4.649970160956753E+08, -4.238425685612751E-01,
