            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2460995.500000000, A.D. 2025-Nov-16 00:00:00.0000, -3.793375980364812E+08, -1.018227570452210E+07,  1.540014243344978E+07,  4.627148115900529E+00, -1.832805905316317E+01,  1.434988401293473E+00,  1.266831713445687E+03,  3.797865932462341E+08, -4.072104975184597E+00,
2460996.500000000, A.D. 2025-Nov-17 00:00:00.0000, -3.789343798952824E+08, -1.176572309841279E+07,  1.552398565293631E+07,  4.706627899732195E+00, -1.832575943145858E+01,  1.431746960447918E+00,  1.265657919848655E+03,  3.794346987785953E+08, -4.073588681391182E+00,
2460997.500000000, A.D. 2025-Nov-18 00:00:00.0000, -3.785242888191607E+08, -1.334895716646633E+07,  1.564754729900426E+07,  4.786243663819206E+00, -1.832312064939189E+01,  1.428470477568069E+00,  1.264483708708647E+03,  3.790826791347213E+08, -4.075002504521407E+00,
2460998.500000000, A.D. 2025-Nov-19 00:00:00.0000, -3.781073131031728E+08, -1.493194852589288E+07,  1.577082433870894E+07,  4.865994392684251E+00, -1.832014086935420E+01,  1.425158829732497E+00,  1.263309100225368E+03,  3.787305403703313E+08, -4.076346031868923E+00,
2460999.500000000, A.D. 2025-Nov-20 00:00:00.0000, -3.776834411308289E+08, -1.651466763483115E+07,  1.589381372850276E+07,  4.945879054163876E+00, -1.831681824673637E+01,  1.421811894438282E+00,  1.262134114717638E+03,  3.783782885768547E+08, -4.077618849424241E+00,
2461000.500000000, A.D. 2025-Nov-21 00:00:00.0000, -3.772526613755647E+08, -1.809708479174349E+07,  1.601651241427461E+07,  5.025896598673016E+00, -1.831315092995310E+01,  1.418429549673959E+00,  1.260958772623846E+03,  3.780259298815659E+08, -4.078820541374982E+00,
2461001.500000000, A.D. 2025-Nov-22 00:00:00.0000, -3.768149624022809E+08, -1.967917013482044E+07,  1.613891733139513E+07,  5.106045958429175E+00, -1.830913706064329E+01,  1.415011673982136E+00,  1.259783094502540E+03,  3.776734704477628E+08, -4.079950689561158E+00,
2461002.500000000, A.D. 2025-Nov-23 00:00:00.0000, -3.763703328689482E+08, -2.126089364141086E+07,  1.626102540476669E+07,  5.186326046698061E+00, -1.830477477406304E+01,  1.411558146504769E+00,  1.258607101033186E+03,  3.773209164749931E+08, -4.081008872941037E+00,
2461003.500000000, A.D. 2025-Nov-24 00:00:00.0000, -3.759187615282738E+08, -2.284222512749416E+07,  1.638283354887633E+07,  5.266735757129287E+00, -1.830006219966122E+01,  1.408068847005607E+00,  1.257430813017063E+03,  3.769682741993238E+08, -4.081994667130582E+00,
2461004.500000000, A.D. 2025-Nov-25 00:00:00.0000, -3.754602372294207E+08, -2.442313424720880E+07,  1.650433866784949E+07,  5.347273963244609E+00, -1.829499746179987E+01,  1.404543655867218E+00,  1.256254251378284E+03,  3.766155498936458E+08, -4.082907644075413E+00,
2461005.500000000, A.D. 2025-Nov-26 00:00:00.0000, -3.749947489197611E+08, -2.600359049244713E+07,  1.662553765550250E+07,  5.427939518122856E+00, -1.828957868055735E+01,  1.400982454063551E+00,  1.255077437164876E+03,  3.762627498679986E+08, -4.083747371898634E+00,
2461006.500000000, A.D. 2025-Nov-27 00:00:00.0000, -3.745222856466482E+08, -2.758356319252059E+07,  1.674642739539176E+07,  5.508731254297640E+00, -1.828380397253979E+01,  1.397385123112747E+00,  1.253900391549877E+03,  3.759098804698999E+08, -4.084513414942827E+00,
2461007.500000000, A.D. 2025-Nov-28 00:00:00.0000, -3.740428365591896E+08, -2.916302151389261E+07,  1.686700476085822E+07,  5.589647983853024E+00, -1.827767145162664E+01,  1.393751545017551E+00,  1.252723135832404E+03,  3.755569480846642E+08, -4.085205333996261E+00,
