            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2460995.500000000, A.D. 2025-Nov-16 00:00:00.0000,  2.530865460659465E+08,  2.007494322568539E+08,  8.129713607812622E+07, -1.388477400856520E+01,  1.560332925315439E+01, -3.104192715429486E-01,  1.111135791032372E+03,  3.331101299653689E+08, -1.221596610252273E+00,
2460996.500000000, A.D. 2025-Nov-17 00:00:00.0000,  2.518835138483094E+08,  2.020948626192245E+08,  8.126922601440834E+07, -1.396314413520254E+01,  1.554081263892767E+01, -3.356495586012427E-01,  1.110785090761799E+03,  3.330049926692327E+08, -1.212130156050150E+00,
2460997.500000000, A.D. 2025-Nov-18 00:00:00.0000,  2.506737234222252E+08,  2.034348709687770E+08,  8.123913540764794E+07, -1.404121346885977E+01,  1.547781991172181E+01, -3.608946633122372E-01,  1.110437124706616E+03,  3.329006750702488E+08, -1.202622179490987E+00,
2460998.500000000, A.D. 2025-Nov-19 00:00:00.0000,  2.494572009187202E+08,  2.047694162254075E+08,  8.120686301436211E+07, -1.411897871136757E+01,  1.541435237436195E+01, -3.861537340731633E-01,  1.110091904798572E+03,  3.327971807454659E+08, -1.193072923496234E+00,
2460999.500000000, A.D. 2025-Nov-20 00:00:00.0000,  2.482339727535790E+08,  2.060984574229265E+08,  8.117240766480838E+07, -1.419643656940936E+01,  1.535041136095796E+01, -4.114259155318942E-01,  1.109749442899176E+03,  3.326945132508745E+08, -1.183482632640807E+00,
2461000.500000000, A.D. 2025-Nov-21 00:00:00.0000,  2.470040656268878E+08,  2.074219537117673E+08,  8.113576826330870E+07, -1.427358375539663E+01,  1.528599823700848E+01, -4.367103485832349E-01,  1.109409750799173E+03,  3.325926761212515E+08, -1.173851553461289E+00,
2461001.500000000, A.D. 2025-Nov-22 00:00:00.0000,  2.457675065225001E+08,  2.087398643616963E+08,  8.109694378857383E+07, -1.435041698838514E+01,  1.522111439932761E+01, -4.620061703764238E-01,  1.109072840217927E+03,  3.324916728699737E+08, -1.164179934889374E+00,
2461002.500000000, A.D. 2025-Nov-23 00:00:00.0000,  2.445243227074233E+08,  2.100521487645087E+08,  8.105593329402563E+07, -1.442693299497023E+01,  1.515576127577829E+01, -4.873125143407284E-01,  1.108738722802650E+03,  3.323915069887871E+08, -1.154468028781501E+00,
2461003.500000000, A.D. 2025-Nov-24 00:00:00.0000,  2.432745417311320E+08,  2.113587664366927E+08,  8.101273590811673E+07, -1.450312851009219E+01,  1.508994032482240E+01, -5.126285102345678E-01,  1.108407410127478E+03,  3.322921819475309E+08, -1.144716090495595E+00,
2461004.500000000, A.D. 2025-Nov-25 00:00:00.0000,  2.420181914248172E+08,  2.126596770220483E+08,  8.096735083464466E+07, -1.457900027768894E+01,  1.502365303492510E+01, -5.379532842208379E-01,  1.108078913692383E+03,  3.321937011938092E+08, -1.134924379453829E+00,
2461005.500000000, A.D. 2025-Nov-26 00:00:00.0000,  2.407552999005877E+08,  2.139548402942510E+08,  8.091977735305822E+07, -1.465454505115222E+01,  1.495690092387537E+01, -5.632859589673478E-01,  1.107753244921922E+03,  3.320960681526189E+08, -1.125093159628037E+00,
2461006.500000000, A.D. 2025-Nov-27 00:00:00.0000,  2.394858955506416E+08,  2.152442161593549E+08,  8.087001481875443E+07, -1.472975959357051E+01,  1.488968553809744E+01, -5.886256537679042E-01,  1.107430415163879E+03,  3.319992862259398E+08, -1.115222699893873E+00,
2461007.500000000, A.D. 2025-Nov-28 00:00:00.0000,  2.382100070464246E+08,  2.165277646582394E+08,  8.081806266336425E+07, -1.480464067777396E+01,  1.482200845202637E+01, -6.139714846766458E-01,  1.107110435687816E+03,  3.319033587923012E+08, -1.105313274220899E+00,
2461008.500000000, A.D. 2025-Nov-29 00:00:00.0000,  2.369276633377931E+08,  2.178054459690066E+08,  8.076392039502648E+07, -1.487918508622274E+01,  1.475387126760814E+01, -6.393225646469922E-01,  1.106793317683598E+03,  3.318082892063407E+08, -1.095365161689693E+00,
2461009.500000000, A.D. 2025-Nov-30 00:00:00.0000,  2.356388936521897E+08,  2.190772204093424E+08,  8.070758759864986E+07, -1.495338961079685E+01,  1.468527561395957E+01, -6.646780036670732E-01,  1.106479072259939E+03,  3.317140807983667E+08, -1.085378646351946E+00,
